,id,uuid,record,associaties_Categorie2,Opgeschoond,associaties_positief_Categorie2,associaties_relevant_Categorie2
zuipfestijnen,594,84xghxzqah1ubzkm,1801,zuipfestijnen,zuipfestijnen,Negatief,Niet bij het kopen van pils
Zuipen,575,mehgtzxb75335kd2,1561,Zuipen,Zuipen,Neutraal,Relevant bij het kopen van pils
zonnetje,430,cnepq7hr88h1muj9,1795,zonnetje,zonnetje,Positief,Relevant bij het kopen van pils
Zon,313,xwx0960rxj5qesfk,1160,Zon,Zon,Positief,Relevant bij het kopen van pils
zon,355,xr82pz30jvveabjn,1358,zon,zon,Positief,Niet bij het kopen van pils
zon,392,bk5b6ez4uew72q65,1566,zon,zon,Positief,Relevant bij het kopen van pils
zon,499,yz2x36mhxxy3yut7,78,zon,zon,Positief,Relevant bij het kopen van pils
Zomer,31,76df8quwcaqhghk6,117,Zomers,Zomer,Positief,Relevant bij het kopen van pils
Zomer~avonden,538,7hcv6t75yhrxb5s7,1124,Zomer avonden,Zomer avonden,Positief,Relevant bij het kopen van pils
Zomer,151,6nvf1jvu8qrygzws,592,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,235,q67j900rzberknra,907,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,336,mmzm72psc4dzwyw7,1281,Zomer,Zomer,Positief,Niet bij het kopen van pils
Zomer,345,u4q70tv9svmtd5xp,1328,Zomer,Zomer,Positief,Relevant bij het kopen van pils
Zomer,402,bwpbv9naxd3nudda,1655,Zomer,Zomer,Positief,Niet bij het kopen van pils
Zomer,603,dfkshwjh44d4553y,2008,Zomer,Zomer,Positief,Niet bij het kopen van pils
zomer,11,zfc0bjg2c51eduk8,38,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,58,gm8p7uszr7b9jz5x,206,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,261,6qxg4w29gyeg5cge,978,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,276,6squczgdba4eehqk,1014,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,460,7e0hbusbrufv029s,1997,zomer,zomer,Positief,Niet bij het kopen van pils
zomer,531,zepkp4ymc1cmjve9,733,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,533,vyfatjm51ecass9j,771,zomer,zomer,Positief,Relevant bij het kopen van pils
zomer,584,jbkmnwvm1rjdu77f,1665,zomer,zomer,Positief,Relevant bij het kopen van pils
Zo~koud~mogelijk,140,sckzvhbrq6720q40,557,Zo koud mogelijk,Zo koud mogelijk,Positief,Niet bij het kopen van pils
zin,66,ytjsma1gh3xtacp0,235,zin,zin,Positief,Niet bij het kopen van pils
zacht,253,wjhjwq8cdcx07q3x,952,zacht,zacht,Positief,Relevant bij het kopen van pils
waterig,584,jbkmnwvm1rjdu77f,1665,wqaterig,waterig,Negatief,Niet bij het kopen van pils
,351,6d49pxhsypk4f81v,1350,Wixked,,Positief,Relevant bij het kopen van pils
witte~kraag,144,tqq24qmqu4hpp1w7,570,witte kraag,witte kraag,Positief,Niet bij het kopen van pils
Witbier,217,eqpdt52k1httyf3b,840,Witbier,Witbier,Positief,Niet bij het kopen van pils
Wieckse,596,2nek6ab6m3427hwa,1835,wietcke,Wieckse,Positief,Relevant bij het kopen van pils
Wieckse,516,4af2qn1j5y46yqw3,423,Wiekse,Wieckse,Positief,Niet bij het kopen van pils
Wieckse,286,4jsfgf6vuj41hfsz,1067,Wieckse,Wieckse,Positief,Relevant bij het kopen van pils
wickuler,596,2nek6ab6m3427hwa,1835,wickuler,wickuler,Neutraal,Niet bij het kopen van pils
Weinig~verschil,35,2f1hm451pr3b5ahz,133,Weinig verschil,Weinig verschil,Neutraal,Niet bij het kopen van pils
Weekend,196,1gkwr1e1xh0eeu5g,777,Weekend,Weekend,Positief,Relevant bij het kopen van pils
Weekend,217,eqpdt52k1httyf3b,840,Weekend,Weekend,Positief,Niet bij het kopen van pils
Weekend,283,zzwkskrea82pue0b,1057,Weekend,Weekend,Positief,Relevant bij het kopen van pils
Weekend,553,g0zhu4xx9ys5s1yq,1391,Weekend,Weekend,Positief,Relevant bij het kopen van pils
Weekend,598,d6e6kpf0k7kpx8v0,1875,Weekend,Weekend,Positief,Niet bij het kopen van pils
Weekend,609,vy3kwfpq30td68e6,2100,Weekend,Weekend,Positief,Niet bij het kopen van pils
Waterig,345,u4q70tv9svmtd5xp,1328,Waterig,Waterig,Negatief,Relevant bij het kopen van pils
Waterig,373,qf2r3bg11ccz8xbx,1441,Waterig,Waterig,Negatief,Niet bij het kopen van pils
Warsteiner,147,uqdn3yjm5zrrj71h,585,Warstriner,Warsteiner,Positief,Relevant bij het kopen van pils
Warsteiner,63,x0f8tmedg6a2tckr,219,Warsteiner,Warsteiner,Positief,Relevant bij het kopen van pils
Warsteiner,95,qub3bd7azsh9u5n1,333,Warsteiner,Warsteiner,Positief,Relevant bij het kopen van pils
Warsteiner,109,0vcxpwyfc3vx5jnk,412,Warsteiner,Warsteiner,Positief,Relevant bij het kopen van pils
Warsteiner,189,60ys1gxmg11hbvnf,754,Warsteiner,Warsteiner,Neutraal,Niet bij het kopen van pils
Warsteiner,331,14t1kdpu0cenb1cd,1243,Warsteiner,Warsteiner,Positief,Relevant bij het kopen van pils
Warsteiner,383,pr6h224nx1v97db8,1511,Warsteiner,Warsteiner,Positief,Relevant bij het kopen van pils
warsteiner,21,8fczwfzjqm9a7dt5,72,warsteiner,warsteiner,Neutraal,Niet bij het kopen van pils
warsteiner,80,j5byecdpjeqmet9k,275,warsteiner,warsteiner,Positief,Relevant bij het kopen van pils
warm,200,fuzpgymztdg3whvw,785,warmte,warm,Neutraal,Relevant bij het kopen van pils
warm,247,0ba0ym8n4gpa48j4,934,warmte,warm,Positief,Relevant bij het kopen van pils
Warm~weer,140,sckzvhbrq6720q40,557,Warm weer,Warm weer,Positief,Relevant bij het kopen van pils
warm~weer,184,6u2fpnxa29vzgs1f,739,warm weer,warm weer,Positief,Niet bij het kopen van pils
warm~weer,257,h1rw3wneb66wf1b4,967,warm weer,warm weer,Positief,Relevant bij het kopen van pils
warm~weer,468,09e4ghaegtp18hrm,2029,warm weer,warm weer,Positief,Relevant bij het kopen van pils
warm,101,7nad3j6aa88gn1rc,368,warm,warm,Positief,Niet bij het kopen van pils
warm,532,r2ge8v8r33fkutch,738,warm,warm,Positief,Relevant bij het kopen van pils
vrije~tijd,171,nq4s1aek2aqaynnt,692,vrije tijd,vrije tijd,Positief,Relevant bij het kopen van pils
vrijdagavond,148,hyz1jkup9suy45th,586,vrijdagavond,vrijdagavond,Positief,Niet bij het kopen van pils
Vriendschappelijk,585,3966k9sm8msjfa6v,1666,Vriendschappelijk,Vriendschappelijk,Positief,Relevant bij het kopen van pils
vrienden~van~amstel~live,279,husjnhkc7h334zzp,1032,vrienden van amstel live,vrienden van amstel live,Positief,Niet bij het kopen van pils
VRIENDEN,521,bzucx668chv9kpda,597,VRIENDEN,VRIENDEN,Positief,Relevant bij het kopen van pils
Vrienden,156,q7trbtfqhfz8tudc,627,Vrienden,Vrienden,Positief,Niet bij het kopen van pils
Vrienden,206,6k5y853ukkvqwm52,797,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
Vrienden,271,fg3xy2zup5ypq5sf,1002,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
Vrienden,422,a5arcbd1p3cup082,1740,Vrienden,Vrienden,Positief,Niet bij het kopen van pils
Vrienden,538,7hcv6t75yhrxb5s7,1124,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
Vrienden,571,6m2zu8epruu3jh84,1524,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
Vrienden,598,d6e6kpf0k7kpx8v0,1875,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
Vrienden,609,vy3kwfpq30td68e6,2100,Vrienden,Vrienden,Positief,Relevant bij het kopen van pils
vrienden,4,ks4crmwhm9e0vrpw,15,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,50,wfvm3f0yzb27vc2v,176,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,66,ytjsma1gh3xtacp0,235,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,102,06fq6ug5ejk7snqa,369,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,171,nq4s1aek2aqaynnt,692,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,187,mnx7fhk3j90fy66p,743,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,275,ar4w7jfqx2rrfzne,1012,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,314,281sj97ducubry2u,1161,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,327,szvwgmcs5b607k6r,1224,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,388,8ypr3m4fvty01a8g,1539,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,389,18cz6f0zt3jtgabm,1554,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,392,bk5b6ez4uew72q65,1566,vrienden,vrienden,Positief,Relevant bij het kopen van pils
vrienden,408,64udczheatjcfm0r,1682,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,420,90ewrbz8nad6yru8,1733,vrienden,vrienden,Positief,Niet bij het kopen van pils
vrienden,551,w1vgqdb1z0gkr6pj,1360,vrienden,vrienden,Positief,Relevant bij het kopen van pils
voor~thuis,9,xkdawsu6yvueqtty,33,voor thuis,voor thuis,Positief,Relevant bij het kopen van pils
voor~iedereen,155,140fy3tszfjq6uv5,621,voor iedereen,voor iedereen,Positief,Niet bij het kopen van pils
Voor~doordeweeks,278,9up15fd1m85mqdyr,1027,Voor doordeweeks,Voor doordeweeks,Neutraal,Relevant bij het kopen van pils
Voor~de~ontspanning,167,t1hkf1vqwd5y0d0s,673,Voor de ontspanning,Voor de ontspanning,Positief,Relevant bij het kopen van pils
voor~de~dorst,173,tgb5yj1zxf86f708,704,voor de dorst,voor de dorst,Positief,Relevant bij het kopen van pils
voor~de~dorst,574,8sd894yq2zhq0pfr,1558,voor de dorst,voor de dorst,Neutraal,Relevant bij het kopen van pils
Volume~bier,428,z6u92rd76xv16vru,1783,Volume bier,Volume bier,Neutraal,Niet bij het kopen van pils
volume,328,vj8ewutvafcdneyy,1227,volume,volume,Neutraal,Relevant bij het kopen van pils
Volle~smaak,457,sry15u7px6yj5kyx,1987,Volle smaak,Volle smaak,Positief,Relevant bij het kopen van pils
Volle~smaak,126,w569vs5m3mh9za04,493,vol van smaak,Volle smaak,Positief,Relevant bij het kopen van pils
Voetbal,594,84xghxzqah1ubzkm,1801,voetbalkantines,Voetbal,Negatief,Niet bij het kopen van pils
VOETBAL,521,bzucx668chv9kpda,597,VOETBAL,VOETBAL,Positief,Relevant bij het kopen van pils
Voetbal,156,q7trbtfqhfz8tudc,627,Voetbal,Voetbal,Positief,Niet bij het kopen van pils
voetbal,66,ytjsma1gh3xtacp0,235,voetbal,voetbal,Positief,Niet bij het kopen van pils
voetbal,69,6ebc3gzy0hunvn8a,244,voetbal,voetbal,Positief,Niet bij het kopen van pils
voetbal,314,281sj97ducubry2u,1161,voetbal,voetbal,Positief,Niet bij het kopen van pils
voetbal,348,6tspdkgs05qnggc7,1338,voetbal,voetbal,Neutraal,Niet bij het kopen van pils
voetbal,430,cnepq7hr88h1muj9,1795,voetbal,voetbal,Neutraal,Niet bij het kopen van pils
vocht,279,husjnhkc7h334zzp,1032,vocht,vocht,Positief,Niet bij het kopen van pils
Vlak,373,qf2r3bg11ccz8xbx,1441,Vlak,Vlak,Neutraal,Niet bij het kopen van pils
vlak,460,7e0hbusbrufv029s,1997,vlak,vlak,Neutraal,Relevant bij het kopen van pils
vertrouwd,123,d9h6fdqrbk3dbpp5,482,vertrouwd,vertrouwd,Positief,Relevant bij het kopen van pils
verslaving,502,dyr7mau60phka9y0,165,verslaving,verslaving,Negatief,Relevant bij het kopen van pils
Verschillende~merken,199,5wst6jqaehqzw9km,782,Verschillende merken,Verschillende merken,Positief,Relevant bij het kopen van pils
verschillende~merken,347,scj8dy4c09nzgdj7,1331,verschillende merken,verschillende merken,Neutraal,Relevant bij het kopen van pils
verkoelend,131,1st6x9358sqxndj5,515,verkoelend,verkoelend,Positief,Relevant bij het kopen van pils
Verjaardagen,396,2j8kejfbff5k44dy,1585,Verjaardagen,Verjaardagen,Positief,Relevant bij het kopen van pils
verjaardagen,9,xkdawsu6yvueqtty,33,verjaardagen,verjaardagen,Positief,Relevant bij het kopen van pils
verjaardagen,155,140fy3tszfjq6uv5,621,verjaardagen,verjaardagen,Positief,Relevant bij het kopen van pils
verjaardagen,206,6k5y853ukkvqwm52,797,Verjaardag,verjaardagen,Positief,Niet bij het kopen van pils
verjaardagen,405,csug2u0uue4rd6xb,1663,Verjaardag,verjaardagen,Neutraal,Relevant bij het kopen van pils
verjaardagen,496,3639r9eg3sh3u5jf,42,Verjaardag,verjaardagen,Positief,Niet bij het kopen van pils
verjaardagen,519,9rnrrnw6xe36tsev,522,Verjaardag,verjaardagen,Positief,Relevant bij het kopen van pils
verjaardagen,609,vy3kwfpq30td68e6,2100,Verjaardag,verjaardagen,Positief,Niet bij het kopen van pils
verjaardagen,311,wvamm96rqrpk6ggf,1154,verjaardag,verjaardagen,Neutraal,Niet bij het kopen van pils
Verfrissend,61,uz1aq0v8bs7zk2w3,216,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,83,bswwup37nzca8z0d,288,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,167,t1hkf1vqwd5y0d0s,673,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,259,vsdrcqcw10q51pb3,975,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,289,e5xhwpv827r0a3g2,1077,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,356,yyxjd58mh9guy6q3,1359,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,393,apd1sgqe1h1r7e1b,1569,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,406,82ppuzgabfz8hfb9,1673,Verfrissend,Verfrissend,Positief,Niet bij het kopen van pils
Verfrissend,410,0j0cf99gm4u1239j,1685,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,432,n18uy66hv0fav0w3,1804,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,440,15tgwzubztac4rfu,1859,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,488,cn6bzwm64rvzh4pm,2169,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,571,6m2zu8epruu3jh84,1524,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,572,yc4n140h97vj3h86,1548,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
Verfrissend,578,g0f3tsaxp5d98qf7,1599,Verfrissend,Verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,50,wfvm3f0yzb27vc2v,176,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,84,tadrxu0q827rub9x,294,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,192,2rd5j13n99trb9n1,768,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,209,3edge429tpwu974x,801,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,340,07ss13fu7zm4m35k,1298,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,375,8cyesabce19nyt2q,1463,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,381,sw7nwb2uybcsgnnm,1503,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,425,97dnghrv3ect3ck9,1762,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,434,mpq4nayrjjb4p48r,1822,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,489,0aq8xx0km6g5hrds,2182,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,505,m1v42ybvjyvuu0wa,285,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,577,h1b45bysas2gctsu,1583,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,618,bt5zng93d18609nj,2230,verfrissend,verfrissend,Positief,Relevant bij het kopen van pils
verfrissend,369,fccne72fwn27j2qt,1425,verfrissemd,verfrissend,Positief,Relevant bij het kopen van pils
veluwse~schavuit,279,husjnhkc7h334zzp,1032,veluwse schavuit,veluwse schavuit,Positief,Niet bij het kopen van pils
vele~soorten,9,xkdawsu6yvueqtty,33,vele soorten,vele soorten,Positief,Relevant bij het kopen van pils
Veel~soorten,396,2j8kejfbff5k44dy,1585,Veel soorten,Veel soorten,Neutraal,Relevant bij het kopen van pils
veel~smaken,26,hzvt4e1z4kg5we1k,97,veel smaken,veel smaken,Positief,Relevant bij het kopen van pils
Veel~merken,585,3966k9sm8msjfa6v,1666,Veel merken,Veel merken,Positief,Relevant bij het kopen van pils
veel~merken,232,m117axsbe9f0gaxg,891,veel merken,veel merken,Neutraal,Relevant bij het kopen van pils
veel~keuze,423,p9x3mx2r8v1uzzqb,1743,veel keus,veel keuze,Positief,Relevant bij het kopen van pils
Veel,212,7pw7rr715ths3hu9,812,Veel,Veel,Negatief,Niet bij het kopen van pils
Veel,413,gb7k3x8c5e3a48j4,1704,Veel,Veel,Positief,Relevant bij het kopen van pils
veel,481,82x9hd0kyq3r684d,2085,veel,veel,Neutraal,Niet bij het kopen van pils
vedett,34,my2hw52v7we1yjac,131,vedett,vedett,Positief,Relevant bij het kopen van pils
vedett,262,ncqbh51uc4hq1ras,981,vedett,vedett,Positief,Relevant bij het kopen van pils
variatie,543,bwgz9apwuu3bq7d9,1218,variatie,variatie,Positief,Niet bij het kopen van pils
Van~de~tap,175,uyrsq2auywprm10y,706,Van de tap,Van de tap,Neutraal,Relevant bij het kopen van pils
van~de~tap,311,wvamm96rqrpk6ggf,1154,van de tap,van de tap,Positief,Relevant bij het kopen van pils
Vakantie,570,eb0m6c0b48ms0cj6,1518,Vakantie,Vakantie,Positief,Niet bij het kopen van pils
Urquell,393,apd1sgqe1h1r7e1b,1569,Urquell,Urquell,Neutraal,Niet bij het kopen van pils
Uitje,603,dfkshwjh44d4553y,2008,Uitje,Uitje,Positief,Niet bij het kopen van pils
UITGAAN,11,zfc0bjg2c51eduk8,38,UITGAAN,UITGAAN,Positief,Relevant bij het kopen van pils
UITGAAN,521,bzucx668chv9kpda,597,UITGAAN,UITGAAN,Positief,Relevant bij het kopen van pils
Uitgaan,204,txbt1m82vtq3kfc7,790,Uitgaan,Uitgaan,Positief,Relevant bij het kopen van pils
Uitgaan,496,3639r9eg3sh3u5jf,42,Uitgaan,Uitgaan,Positief,Niet bij het kopen van pils
Uitgaan,570,eb0m6c0b48ms0cj6,1518,Uitgaan,Uitgaan,Positief,Niet bij het kopen van pils
Uitgaan,571,6m2zu8epruu3jh84,1524,Uitgaan,Uitgaan,Positief,Relevant bij het kopen van pils
Uitgaan,575,mehgtzxb75335kd2,1561,Uitgaan,Uitgaan,Positief,Niet bij het kopen van pils
uitgaan,279,husjnhkc7h334zzp,1032,uitgaan,uitgaan,Positief,Niet bij het kopen van pils
uitgaan,558,gp7faffwddedcgmj,1424,uitgaan,uitgaan,Positief,Niet bij het kopen van pils
uitgaan,574,8sd894yq2zhq0pfr,1558,uitgaan,uitgaan,Neutraal,Relevant bij het kopen van pils
Tussendoor,400,cm2dp28g91uh0nhp,1652,Tussendoor,Tussendoor,Positief,Niet bij het kopen van pils
Tussendoor,601,hxukp4v1tz32kbec,1927,Tussendoor,Tussendoor,Neutraal,Niet bij het kopen van pils
tussen~de~4~en~5~%~alcohol,67,74gq1gzu8cx1u40a,238,tussen de 4 en 5 % alcohol,tussen de 4 en 5 % alcohol,Positief,Relevant bij het kopen van pils
tuin,392,bk5b6ez4uew72q65,1566,tuin,tuin,Positief,Relevant bij het kopen van pils
Tsjechië,450,kp2tbn68ff4rd009,1898,Tsjechie,Tsjechië,Positief,Niet bij het kopen van pils
Traditie,310,syq37svj0khcdp00,1145,Traditie,Traditie,Neutraal,Niet bij het kopen van pils
tot~rust~komen,257,h1rw3wneb66wf1b4,967,tot rust komen,tot rust komen,Positief,Niet bij het kopen van pils
tongprikkelend,409,1xqjwv48e7ysguu3,1684,tongprikkelend,tongprikkelend,Positief,Relevant bij het kopen van pils
Toegankelijk,91,kbs41qd5khtffnt4,317,Toegankelijk,Toegankelijk,Neutraal,Relevant bij het kopen van pils
Thuis,366,uhw5363apbrraen5,1406,Thuis,Thuis,Positief,Relevant bij het kopen van pils
Thuis,496,3639r9eg3sh3u5jf,42,Thuis,Thuis,Positief,Niet bij het kopen van pils
thuis,4,ks4crmwhm9e0vrpw,15,thuis,thuis,Positief,Relevant bij het kopen van pils
texels~bier,515,brp4k1b1pvg6kted,418,texels bier,texels bier,Positief,Relevant bij het kopen van pils
terrasje,197,efvtascwm6wxxeaa,778,terrasje,terrasje,Positief,Niet bij het kopen van pils
Terras~vakantie,33,37ymdpkhbu0dgjaj,127,Terras vakantie,Terras vakantie,Positief,Relevant bij het kopen van pils
Terras,151,6nvf1jvu8qrygzws,592,Terras,Terras,Positief,Relevant bij het kopen van pils
Terras,214,d57cgty8uj8wa9sp,831,Terras,Terras,Positief,Niet bij het kopen van pils
Terras,271,fg3xy2zup5ypq5sf,1002,Terras,Terras,Positief,Relevant bij het kopen van pils
Terras,313,xwx0960rxj5qesfk,1160,Terras,Terras,Positief,Relevant bij het kopen van pils
Terras,345,u4q70tv9svmtd5xp,1328,Terras,Terras,Positief,Niet bij het kopen van pils
Terras,413,gb7k3x8c5e3a48j4,1704,Terras,Terras,Positief,Relevant bij het kopen van pils
Terras,446,mehq1ddf6549jckc,1880,Terras,Terras,Positief,Niet bij het kopen van pils
Terras,578,g0f3tsaxp5d98qf7,1599,Terras,Terras,Positief,Niet bij het kopen van pils
Terras,603,dfkshwjh44d4553y,2008,Terras,Terras,Positief,Niet bij het kopen van pils
terras,171,nq4s1aek2aqaynnt,692,terras,terras,Positief,Relevant bij het kopen van pils
terras,275,ar4w7jfqx2rrfzne,1012,terras,terras,Positief,Niet bij het kopen van pils
terras,340,07ss13fu7zm4m35k,1298,terras,terras,Positief,Niet bij het kopen van pils
terras,392,bk5b6ez4uew72q65,1566,terras,terras,Positief,Relevant bij het kopen van pils
terras,430,cnepq7hr88h1muj9,1795,terras,terras,Positief,Relevant bij het kopen van pils
terras,499,yz2x36mhxxy3yut7,78,terras,terras,Positief,Relevant bij het kopen van pils
terras,531,zepkp4ymc1cmjve9,733,terras,terras,Positief,Niet bij het kopen van pils
terras,532,r2ge8v8r33fkutch,738,terras,terras,Positief,Relevant bij het kopen van pils
terras,533,vyfatjm51ecass9j,771,terras,terras,Positief,Relevant bij het kopen van pils
terras,217,eqpdt52k1httyf3b,840,Teras,terras,Positief,Niet bij het kopen van pils
terras,107,vd5wrv13x8btmxjt,395,teras,terras,Positief,Relevant bij het kopen van pils
Tap,319,5rf5x79vvbp88kza,1175,Tapje,Tap,Positief,Niet bij het kopen van pils
Tapbier,250,96pcfzzn7zqx516w,939,Tapbier,Tapbier,Positief,Relevant bij het kopen van pils
Tapbier,428,z6u92rd76xv16vru,1783,Tapbier,Tapbier,Positief,Relevant bij het kopen van pils
tapbier,117,2u59hy145pna9hq3,447,tapbier,tapbier,Neutraal,Niet bij het kopen van pils
Tapbier,299,s7tj18s36n8gjw8f,1104,Tap biertje,Tapbier,Positief,Relevant bij het kopen van pils
Tap,269,dz48fyt6ycf47sat,997,Tap,Tap,Positief,Relevant bij het kopen van pils
Tap,508,9bmy9bcgew533h3e,297,Tap,Tap,Positief,Niet bij het kopen van pils
tap,99,2ehjazf8tt5gtarn,358,tap,tap,Neutraal,Niet bij het kopen van pils
tap,160,sy9muj3nb7uachv6,640,tap,tap,Positief,Niet bij het kopen van pils
tap,184,6u2fpnxa29vzgs1f,739,tap,tap,Positief,Niet bij het kopen van pils
tap,297,38w6pdymgm85stpp,1100,tap,tap,Positief,Niet bij het kopen van pils
tap,347,scj8dy4c09nzgdj7,1331,tap,tap,Positief,Relevant bij het kopen van pils
tap,430,cnepq7hr88h1muj9,1795,tap,tap,Neutraal,Relevant bij het kopen van pils
tap,449,1f9js5tjmjsgsu09,1893,tap,tap,Positief,Niet bij het kopen van pils
tap,533,vyfatjm51ecass9j,771,tap,tap,Positief,Relevant bij het kopen van pils
swinckels,25,9sk0j2m62bvvcuez,95,swinckels,swinckels,Positief,Relevant bij het kopen van pils
Supermarkt,601,hxukp4v1tz32kbec,1927,Supermarkt,Supermarkt,Neutraal,Niet bij het kopen van pils
Studenten,396,2j8kejfbff5k44dy,1585,Studenten,Studenten,Neutraal,Niet bij het kopen van pils
sterk,615,2cpmx6z94y6brq33,2197,sterk,sterk,Positief,Relevant bij het kopen van pils
Stella~Artois,383,pr6h224nx1v97db8,1511,Stella Artois,Stella Artois,Negatief,Niet bij het kopen van pils
Stella,382,t5405c44sub057t3,1507,Stella,Stella,Positief,Relevant bij het kopen van pils
Stella,503,30bc6a5vungv8uw7,237,Stella,Stella,Positief,Relevant bij het kopen van pils
uitgaan,460,7e0hbusbrufv029s,1997,stappen,uitgaan,Positief,Relevant bij het kopen van pils
uitgaan,530,g1p7j2dxx98c3zy3,721,stappen,uitgaan,Neutraal,Niet bij het kopen van pils
Standaard~bier,444,69tcwb8r38z5scq4,1878,standaard biertje,Standaard bier,Positief,Niet bij het kopen van pils
Standaard~bier,98,3gkx0sb65yv898sv,353,Standaard bier,Standaard bier,Positief,Relevant bij het kopen van pils
Standaard~bier,255,g6hrqbrxhm32rs7k,956,Standaard bier,Standaard bier,Positief,Relevant bij het kopen van pils
Standaard~bier,376,zcar3fbnrmdpsbtn,1466,Standaard bier,Standaard bier,Neutraal,Niet bij het kopen van pils
Standaard,318,5s1tsry37tubq1w6,1170,Standaard,Standaard,Neutraal,Relevant bij het kopen van pils
Standaard,428,z6u92rd76xv16vru,1783,Standaard,Standaard,Neutraal,Niet bij het kopen van pils
standaard,460,7e0hbusbrufv029s,1997,standaard,standaard,Neutraal,Relevant bij het kopen van pils
standaard,479,e3tuk5pjvmxge73h,2076,standaard,standaard,Neutraal,Relevant bij het kopen van pils
Sport,422,a5arcbd1p3cup082,1740,Sport,Sport,Positief,Relevant bij het kopen van pils
Spelletjes~doen,337,cb8mwxtxec2tpyj0,1287,Spelletjes doen,Spelletjes doen,Positief,Relevant bij het kopen van pils
speciaalbier,24,wd4tvfhf5gx47k05,94,speciaalbier,speciaalbier,Positief,Relevant bij het kopen van pils
speciaalbier,450,kp2tbn68ff4rd009,1898,speciaalbier,speciaalbier,Positief,Relevant bij het kopen van pils
speciaalbier,271,fg3xy2zup5ypq5sf,1002,Speciaal bier,speciaalbier,Positief,Relevant bij het kopen van pils
Speciaal,362,r8yaj4f65krswv5e,1394,Speciaal,Speciaal,Positief,Relevant bij het kopen van pils
speciaal,284,3mhy9uuxr4cprpns,1059,speciaal,speciaal,Positief,Niet bij het kopen van pils
soorten,240,5s2mq52886u5510r,915,soorten,soorten,Neutraal,Relevant bij het kopen van pils
Soms~saai,393,apd1sgqe1h1r7e1b,1569,Soms saai,Soms saai,Negatief,Niet bij het kopen van pils
soms,284,3mhy9uuxr4cprpns,1059,soms,soms,Positief,Niet bij het kopen van pils
sociaal~contact,130,tcbj1x6d0y3xg0tq,514,sociaal contact,sociaal contact,Neutraal,Niet bij het kopen van pils
