Associaties;Positief/negatief;Relevant/niet relevant;Socdemo;Missie;Kopen Energiedrank;Drinken energiedrank;Kopen Red Bull;;;Positief/negatief;Relevant/niet relevant
misselijk;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Overbodig;Negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
misbruik;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
minder moe;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
minder gezond;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - functional;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
overbodig;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
mijn gebit;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Minder dan 1x per jaar;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Mierzoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
onzin;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Nooit;1-2x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Ontzettend zoet;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
onnodig;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Onnatuurlijke kleur;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;3-4x per jaar;3-4x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
mierzoet;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
mierezoet;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
mier zoet;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Middelbare school;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;2-6x per week;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
middelbare school;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Middelbare scholieren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Onhandelbare kinderen;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Met caffeïne;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;2-6x per week;1x per dag;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Meestal in flesjes of blikjes verkrijgbaar;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
meer energie voor korte duur;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;2-3x per maand;2-3x per maand;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
meer dorst van krijgen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Max Verstappen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Max Verstappen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Minder dan 1x per jaar;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Max Verstappen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Max Verstappen;Positief;Niet relevant wanneer ik energiedrank koop;Man 15-34;On the go;2-6x per week;2-6x per week;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
ongezond bij grote hoeveelheden;Negatief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
makkelijk verkrijgbaar voor jongeren;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Lidl;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
lidl;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;1x per week;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
lidl;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;1x per week;Meer dan 1x per dag;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lemon;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker zoet;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
lekker wakker;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;2-3x per maand;2-3x per maand;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Lekker;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;3-4x per jaar;1x per maand;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;1x per week;1x per week;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Take with;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per dag;Meer dan 1x per dag;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;1-2x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1x per week;1x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Lekker;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1x per week;1x per week;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
Lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;1x per week;2-6x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;1x per week;1x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;On the go;2-6x per week;2-6x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Take with;1x per week;2-6x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Take with;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - functional;1x per week;2-6x per week;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - functional;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;2-3x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lekker;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;2-6x per week;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
lang werken;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1-2x per jaar;1-2x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Kunstmatig;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per dag;Meer dan 1x per dag;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;1-2x per jaar;1-2x per jaar;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
krijgt er energie van;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Take with;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
krijg je energie van;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
krijg je energie van;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
koud drinken;Positief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief;Niet relevant wanneer ik energiedrank koop
kostbaar;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
korte rush, geen blijvend effect;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Minder dan 1x per jaar;1-2x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
korte kickperiode;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
kortdurende boost;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koop ik nooit;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
koop het nooit;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Minder dan 1x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
koop het nooit;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Koolzuurhoudend;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 15-34;Take with;Nooit;1-2x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koolzuurhoudend;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
Koolzuur?;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Fill up;2-6x per week;1x per dag;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Koolzuur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Stocking up;1x per maand;2-3x per maand;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
koolzuur;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koolzuur;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;3-4x per jaar;3-4x per jaar;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
koolhydraten;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;3-4x per jaar;3-4x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Komt mijn huis niet in;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
KOFFIE;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
koffie;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;2-6x per week;2-6x per week;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
koffie;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;1x per maand;1x per maand;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
kleurstoffen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kleurstoffen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kleurstoffen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Kleurstof;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kleurrijk;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
kleurrijk;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Minder dan 1x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
kleurloos;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
kleuren;Positief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Stocking up;3-4x per jaar;Nooit;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
kleine blikjes;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
klein flesje;Positief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Take with;1x per maand;2-3x per maand;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
Kinderen kopen het wel eens stiekem zelf;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
kinderen;Negatief;Relevant wanneer ik energiedrank koop;Man 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Kauwgomsmaak;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Kauwgomballenlucht;Negatief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kauwgomballengeur;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Direct consumption - social;Minder dan 1x per jaar;1-2x per jaar;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kauwgomballen extract;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Kanker;Negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Fill up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
kan weer langer door;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
kan verslavend zijn;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Kan soms heel lekker zijn;Positief;Relevant wanneer ik energiedrank koop;Man 35-49;Fill up;1-2x per jaar;1-2x per jaar;Nooit;potential;;Positief;Relevant wanneer ik energiedrank koop
kan niet alles kopen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
kalorieen;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Stocking up;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;On the go;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Take with;3-4x per jaar;3-4x per jaar;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Take with;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
Jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - functional;2-3x per maand;2-3x per maand;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
jongeren;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Vrouw 35-49;Fill up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 15-34;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
jongeren;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 35-49;Direct consumption - functional;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
jonge mensen;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 50-65;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
ongezond;Negatief;Niet relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Niet relevant wanneer ik energiedrank koop
jeugddrankje;Negatief;Relevant wanneer ik energiedrank koop;Vrouw 50-65;Direct consumption - social;Nooit;Nooit;Nooit;potential;;Negatief;Relevant wanneer ik energiedrank koop
Jeugddrank;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop;Man 35-49;Take with;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Niet relevant wanneer ik energiedrank koop
Jeugd;Positief/noch negatief;Relevant wanneer ik energiedrank koop;Man 15-34;Stocking up;Nooit;Nooit;Nooit;potential;;Positief/noch negatief;Relevant wanneer ik energiedrank koop
